OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,Shape_Length,Perm_ID,OID_,ComID,TotDASqKM,DivDASqKM
4595,2704735,3/17/2008 0:00,3,251974,Eel River,2.337,1.80E+13,1,120049342,558,55800,0.022844783,2704735,18472,2704735,8062.4286,8062.4286
4596,2702679,3/17/2008 0:00,3,251974,Eel River,0.112,1.80E+13,1,120049342,558,55800,0.001039376,2702679,18473,2702679,8068.3029,8068.3029
4597,2704763,3/17/2008 0:00,3,251974,Eel River,0.731,1.80E+13,1,120049342,558,55800,0.008499267,2704763,18474,2704763,8029.7811,8029.7811
4598,2704747,3/17/2008 0:00,3,251974,Eel River,1.018,1.80E+13,1,120049342,558,55800,0.011658807,2704747,18475,2704747,8035.8075,8035.8075
4599,2704743,3/17/2008 0:00,3,251974,Eel River,0.691,1.80E+13,1,120049342,558,55800,0.007468604,2704743,18476,2704743,8041.0419,8041.0419
4600,2704767,3/17/2008 0:00,3,251974,Eel River,1.692,1.80E+13,1,120049342,558,55800,0.018929041,2704767,18477,2704767,8023.4451,8023.4451
4601,2704741,3/17/2008 0:00,3,251974,Eel River,1.73,1.80E+13,1,120049342,558,55800,0.017882757,2704741,18478,2704741,8045.1225,8045.1225
4602,2704751,3/17/2008 0:00,3,251974,Eel River,2.643,1.80E+13,1,120049342,558,55800,0.027010379,2704751,18479,2704751,8008.9677,8008.9677
4603,2704755,3/17/2008 0:00,3,251974,Eel River,1.028,1.80E+13,1,120049342,558,55800,0.0112812,2704755,18480,2704755,7990.4322,7990.4322
4604,2708837,3/17/2008 0:00,3,251974,Eel River,1.657,1.80E+13,1,120049342,558,55800,0.015215328,2708837,18481,2708837,7959.1536,7959.1536
4605,2708613,3/17/2008 0:00,3,251974,Eel River,0.97,1.80E+13,1,120049342,558,55800,0.008966373,2708613,18482,2708613,7933.7961,7933.7961
4607,2708861,3/17/2008 0:00,3, , ,0.084,1.80E+13,1,8319727,558,55800,0.000752541,2708861,18484,2708861,7918.5627,0
4608,2708615,3/17/2008 0:00,3,251974,Eel River,0.443,1.80E+13,1,8319729,558,55800,0.00523211,2708615,18485,2708615,7919.0892,7919.0892
4609,2708617,3/17/2008 0:00,3,251974,Eel River,0.193,1.80E+13,1,8319727,558,55800,0.002295184,2708617,18486,2708617,7918.6446,7918.6446
