STAIDT,site_no,STATION_NAME,LATITUDE,LONGITUDE,FINAL_REFERENCE,DA_SQKM,NHDV2_COMID
T10360230,10360230,EAGLE C A EAGLEVILLE CA,41.3123957,-120.1252193,N,6.36,20319730
T10360900,10360900,BIDWELL C BL MILL C NR FORT BIDWELL CA,41.8823902,-120.1749508,Y,25.6,20314584
T11010900,11010900,WILSON C TRIB NR DULZURA CA,32.7228334,-116.7025197,N,0.61,20325239
T11012500,11012500,CAMPO C NR CAMPO CA,32.591172,-116.525572,N,85,20326431
T11013000,11013000,TIJUANA R NR DULZURA CA,32.5656161,-116.7750194,N,481,20326435
T11013500,11013500,TIJUANA R NR NESTOR CA,32.55172325,-117.0841943,N,1695,948070380
T11014000,11014000,JAMUL C NR JAMUL CA,32.6375566,-116.8841893,N,70.1,20334508
T11015000,11015000,SWEETWATER R NR DESCANSO CA,32.8347737,-116.6230747,N,45.4,20334440
T11015001,11015001,SWEETWATER R NR DESCANSO CA.+ DIV CA,32.83477372,-116.6230747,NA,45.4,20334440
T11022000,11022000,SAN VICENTE C A SVD A FOSTER CA,32.91115901,-116.9272497,N,74.2,20334422
T11022200,11022200,LOS COCHES C NR LAKESIDE CA,32.83616156,-116.9003035,N,12.2,20332986
T11022350,11022350,FORESTER C A EL CAJON CA,32.82116107,-116.9764165,N,21.3,20333038
T11022480,11022480,SAN DIEGO R A MAST RD NR SANTEE CA,32.84032675,-117.0258627,N,368,20331402
T11022500,11022500,SAN DIEGO R NR SANTEE CA,32.82477143,-117.0555858,N,377,20331434
T11023000,11023000,SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,32.76504998,-117.1686449,N,429,20331516
T11023250,11023250,POWAY C NR POWAY CA,32.95365699,-117.0147528,Y,7.92,20331142
T11023310,11023310,RATTLESNAKE C A POWAY CA,32.9519902,-117.0497537,Y,8.13,20331150
T11023320,11023320,POMERADO C A POWAY RD NR POWAY CA,32.95199018,-117.0641985,N,4.14,20331162
T11023325,11023325,BEELER C A POMERADO RD NR POWAY CA,32.93976827,-117.0666984,Y,5.46,20331242
T11023330,11023330,LOS PENASQUITOS C BL POWAY C NR POWAY CA,32.94921245,-117.070032,N,31.2,20331178
T11023340,11023340,LOS PENASQUITOS C NR POWAY CA,32.9431013,-117.1216999,N,42.1,20331196
T11025500,11025500,SANTA YSABEL C NR RAMONA CA,33.1069866,-116.866137,N,112,20330878
T11026000,11026000,SANTA YSABEL C NR SAN PASQUAL CA,33.08615349,-116.9164166,N,128,20330890
T11027000,11027000,GUEJITO C NR SAN PASQUAL CA,33.11587431,-116.9530841,N,22.5,20330872
T11027500,11027500,GUEJITO C A SAN PASQUAL CA,33.09309723,-116.9633624,N,27.7,20330886
T11028500,11028500,SANTA MARIA C NR RAMONA CA,33.0522655,-116.9455844,N,57.6,20330908
T11029000,11029000,SAN DIEGUITO R NR SAN PASQUAL CA,33.06670881,-117.0355868,N,249,20328616
T11030500,11030500,SAN DIEGUITO R NR DEL MAR,32.9775445,-117.2305915,N,338,20331892
T11031500,11031500,AGUA CALIENTE C NR WARNER SPRINGS CA,33.28864832,-116.6539084,Y,19,20344355
