STAIDT,site_no,STATION_NAME,LATITUDE,LONGITUDE,FINAL_REFERENCE,DA_SQKM,NHDV2_COMID
T11137500,11137500,ALAMO C NR SANTA MARIA CA,35.02219913,-120.3037684,N,86.6,17632516
T11137900,11137900,HUASNA R NR ARROYO GRANDE CA,35.07775398,-120.3718267,N,103,17632398
T11138000,11138000,HUASNA R NR SANTA MARIA CA,35.02108805,-120.3226582,N,117,17632504
T11138100,11138100,CUYAMA R BL TWITCHELL DAM CA,34.94442272,-120.2926569,N,1132,17634976
T11138500,11138500,SISQUOC R NR SISQUOC CA,34.83970289,-120.1682063,Y,281,17625379
T11139000,11139000,LA BREA C NR SISQUOC CA,34.85275802,-120.1995967,N,93.6,17624669
T11139350,11139350,FOXEN C NR SISQUOC CA,34.81609192,-120.2248757,N,16.8,17624899
T11139500,11139500,TEPUSQUET C NR SISQUOC CA,34.87247964,-120.2445989,N,28.7,17625369
T11140000,11140000,SISQUOC R NR GAREY,34.89386807,-120.3065463,N,471,17625349
T11140585,11140585,SANTA MARIA R A SUEY CROSSING NR SANTA MARIA CA,34.96831117,-120.404051,N,1636,17625465
T11140600,11140600,BRADLEY DITCH NR DONOVAN RD A SANTA MARIA CA,34.96664454,-120.4176628,NA,NA,17623977
T11141000,11141000,SANTA MARIA R A GUADALUPE,34.97636613,-120.5718364,N,1741,17625463
T11141050,11141050,ORCUTT C NR ORCUTT CA,34.88359037,-120.4948883,N,18.5,17624441
T11141150,11141150,ARROYO GRANDE AB PHOENIX C NR ARROYO GRANDE CA,35.18858618,-120.4351621,Y,13.5,8192881
T11141160,11141160,WITTENBERG C NR ARROYO GRANDE CA,35.2171971,-120.4557184,N,3.11,8193805
T11141280,11141280,LOPEZ C NR ARROYO GRANDE CA,35.23553035,-120.4723857,Y,20.9,8193647
T11141300,11141300,ARROYO GRANDE NR ARROYO GRANDE CA,35.18608661,-120.4996096,N,68.3,8193667
T11141400,11141400,TAR SPRING C NR ARROYO GRANDE CA,35.13219812,-120.5426675,N,18.2,8192995
T11141500,11141500,ARROYO GRANDE AT ARROYO GRANDE CA,35.12442032,-120.5690576,N,102,8193677
T11141600,11141600,LOS BERROS C NR NIPOMO CA,35.08803198,-120.5098887,N,15,8193685
T11142080,11142080,MORRO C A MORRO BAY CA,35.37830739,-120.8543459,N,24,8192559
T11142100,11142100,TORO C NR MORRO BAY CA,35.42525134,-120.8601794,N,14,8192531
T11142200,11142200,SANTA ROSA C NR CAMBRIA CA,35.5763603,-120.9982426,N,12.5,8191593
T11142500,11142500,ARROYO DE LA CRUZ NR SAN SIMEON CA,35.71719032,-121.2849258,N,41.2,8190393
T11143000,11143000,BIG SUR R NR BIG SUR CA,36.24579648,-121.7732872,Y,46.5,8189809
T11143200,11143200,CARMEL R A ROBLES DEL RIO CA,36.47440615,-121.7288364,N,193,17600477
T11143250,11143250,CARMEL R NR CARMEL CA,36.53912781,-121.8805085,N,247,17599295
T11143300,11143300,ARROYO DEL REY A DEL REY OAKS CA,36.59384897,-121.8377294,N,13.8,17599225
T11143500,11143500,SALINAS R NR POZO CA,35.29858465,-120.4037709,Y,70.3,8213735
T11144000,11144000,TORO C NR POZO CA,35.32386227,-120.4212715,N,9.56,8214349
T11144200,11144200,SALSIPUEDES C NR POZO CA,35.29275175,-120.4529399,N,5.91,8213747
T11144600,11144600,SALINAS R BL SALINAS DAM NR POZO CA,35.33525155,-120.5037751,N,112,8214345
T11145000,11145000,SALINAS R AB PILITAS C NR SANTA MARGARITA CA,35.34886251,-120.5126643,N,114,8214345
T11145500,11145500,SALINAS R NR SANTA MARGARITA CA,35.40552867,-120.5857225,N,149,8213521
T11147000,11147000,JACK C NR TEMPLETON CA,35.56663815,-120.8037877,N,25.3,8212065
T11147040,11147040,SANTA RITA C TRIB NR TEMPLETON CA,35.53413878,-120.847401,N,2.95,8212111
T11147070,11147070,SANTA RITA C NR TEMPLETON CA,35.52386122,-120.7660077,N,18.2,8212151
T11147500,11147500,SALINAS R A PASO ROBLES CA,35.6285813,-120.6843373,N,390,8212843
T11147600,11147600,HUERHUERO C NR CRESTON CA,35.58413745,-120.5548865,N,101,8211959
T11147700,11147700,CHOLAME C TRIB NR CHOLAME CA,35.7527434,-120.2648693,N,9.26,17649041
T11147800,11147800,CHOLAME C NR SHANDON CA,35.68885664,-120.3351522,N,227,17648071
T11148500,11148500,ESTRELLA R NR ESTRELLA CA,35.71719096,-120.6401683,N,922,17647991
T11148800,11148800,NACIMIENTO R NR BRYSON CA,35.80163462,-121.1149171,N,147,8209915
T11148900,11148900,NACIMIENTO R BL SAPAQUE C NR BRYSON CA,35.78857918,-121.0938048,Y,162,8209965
T11149400,11149400,NACIMIENTO R BL NACIMIENTO DAM NR BRADLEY CA,35.76135678,-120.855458,N,329,8212787
T11149500,11149500,NACIMIENTO R NR SAN MIGUEL CA,35.7833006,-120.7910099,N,349,8211705
T11149700,11149700,SAN ANTONIO R A SAM JNS BR NR LOCKWOOD CA,35.91246731,-121.131585,N,204,8209653
T11149900,11149900,SAN ANTONIO R NR LOCKWOOD CA,35.89663404,-121.0882491,N,217,8210533
T11150000,11150000,SAN ANTONIO R A PLEYTO CA,35.86524529,-120.992688,N,277,8212895
T11150500,11150500,SALINAS R NR BRADLEY CA,35.9302434,-120.8687915,N,2535,8211251
T11151300,11151300,SAN LORENZO C BL BITTERWATER C NR KING CITY CA,36.26802087,-121.066303,Y,233,8205487
T11151700,11151700,SALINAS R A SOLEDAD CA,36.41107602,-121.3193738,N,3563,948060170
T11151870,11151870,ARROYO SECO NR GREENFIELD CA,36.23746164,-121.4816027,Y,113,8203373
T11152000,11152000,ARROYO SECO NR SOLEDAD CA,36.28052076,-121.3227063,N,244,8205291
T11152050,11152050,ARROYO SECO BL RELIZ C NR SOLEDAD CA,36.39968708,-121.3240962,N,304,8205489
T11152300,11152300,SALINAS R NR CHUALAR CA,36.55357267,-121.5493856,N,4042,8200795
T11152500,11152500,SALINAS R NR SPRECKELS CA,36.631071,-121.672446,N,4156,8200533
T11152540,11152540,EL TORO C NR SPRECKELS CA,36.5832937,-121.7149471,N,31.9,8200677
T11152600,11152600,GABILAN C NR SALINAS CA,36.75579196,-121.6105005,N,36.7,17605309
T11152650,11152650,RECLAMATION DITCH NR SALINAS CA,36.70495861,-121.7049475,NA,53.2,17604479
T11152900,11152900,CEDAR C NR BELL STATION CA,37.04994511,-121.3274311,Y,12.8,17661409
T11153000,11153000,PACHECO C NR DUNNEVILLE CA,36.9799481,-121.3802108,N,146,17663037
T11153470,11153470,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,37.14827978,-121.7682836,Y,9.63,17662343
T11153500,11153500,LLAGAS C NR MORGAN HILL CA,37.11439105,-121.6905028,N,19.6,17661097
T11153650,11153650,LLAGAS C NR GILROY,36.98744858,-121.5271622,N,84.2,948060250
T11153700,11153700,PAJARO R NR GILROY CA,36.94828362,-121.5118842,N,399,17663049
T11153900,11153900,UVAS C AB UVAS RES NR MORGAN HILL CA,37.09272543,-121.7182818,Y,21,17661201
T11154000,11154000,UVAS C NR MORGAN HILL CA,37.06661475,-121.6927252,N,30.4,948060247
T11154100,11154100,BODFISH C NR GILROY CA,37.0041163,-121.6671686,Y,7.4,17661675
T11154200,11154200,UVAS C NR GILROY CA,36.99217114,-121.5735532,N,71.2,17663007
T11154700,11154700,CLEAR C NR IDRIA CA,36.36468256,-120.7562868,Y,14.5,17673639
T11156000,11156000,SAN BENITO R BL M C NR HERNANDEZ CA,36.38940632,-120.8960162,N,108,17671773
T11156450,11156450,WILLOW C TRIB NR SAN BENITO CA,36.59023988,-121.196868,N,1.24,17665659
T11156500,11156500,SAN BENITO R NR WILLOW CREEK SCHOOL CA,36.60940609,-121.2029797,Y,249,17665649
T11156700,11156700,PESCADERO C NR PAICINES CA,36.69440493,-121.3107646,N,38.3,17665619
T11157500,11157500,TRES PINOS C NR TRES PINOS CA,36.76579177,-121.2996532,N,208,17663805
T11158500,11158500,SAN BENITO R NR HOLLISTER CA,36.78801314,-121.3707678,N,586,17665543
T11158600,11158600,SAN BENITO R A HWY 156 NR HOLLISTER CA,36.85189909,-121.4299369,N,607,17663521
T11158900,11158900,PESCADERO C NR CHITTENDEN CA,36.90773034,-121.5854987,N,10.2,17663279
T11159000,11159000,PAJARO R A CHITTENDEN CA,36.9002307,-121.5977215,N,1186,17663281
T11159150,11159150,CORRALITOS C NR CORRALITOS CA,37.00550594,-121.8080085,N,10.6,17661713
T11159200,11159200,CORRALITOS C A FREEDOM CA,36.93939681,-121.7705065,N,27.8,17665491
T11159690,11159690,APTOS C NR APTOS CA,37.00161665,-121.9060688,Y,10.2,17683402
T11159700,11159700,APTOS C A APTOS CA,36.97633961,-121.9024573,N,12.3,17684374
T11159800,11159800,WB SOQUEL C NR SOQUEL CA,37.05133748,-121.9391252,N,12.2,17683342
T11160000,11160000,SOQUEL C A SOQUEL CA,36.9913389,-121.9557933,Y,40.2,17684378
T11160020,11160020,SAN LORENZO R NR BOULDER C CA,37.20661136,-122.1449644,Y,6.17,17682178
T11160060,11160060,BEAR C A BOULDER C CA,37.12772447,-122.1169089,N,16,17682316
T11160070,11160070,BOULDER C AT BOULDER CREEK CA,37.12661339,-122.1227425,Y,11.3,17682322
T11160300,11160300,ZAYANTE C A ZAYANTE CA,37.08605874,-122.0469069,Y,11.1,17682394
T11160430,11160430,BEAN C NR SCOTTS VALLEY CA,37.05522613,-122.0413516,N,8.81,17682446
T11160500,11160500,SAN LORENZO R A BIG TREES CA,37.04439313,-122.0724641,Y,106,17682474
T11161000,11161000,SAN LORENZO R A SANTA CRUZ CA,36.99078323,-122.0319076,N,115,17684066
T11161300,11161300,CARBONERA C A SCOTTS VALLEY CA,37.05050396,-122.0135729,Y,3.6,17682694
T11161500,11161500,BRANCIFORTE C A SANTA CRUZ CA,36.9860611,-122.0144069,N,17.3,17684084
T11161570,11161570,MAJORS C NR SANTA CRUZ CA,36.99856108,-122.1213554,N,3.77,17684082
T11161590,11161590,LAGUNA C NR DAVENPORT CA,37.02550486,-122.1310776,N,3.07,17682512
T11161800,11161800,SAN VICENTE C NR DAVENPORT CA,37.05522644,-122.18219,N,6.07,17682482
T11161900,11161900,SCOTT C AB LITTLE C NR DAVENPORT CA,37.06411519,-122.2294139,N,25.1,17682422
T11162500,11162500,PESCADERO C NR PESCADERO CA,37.26077707,-122.3288602,Y,45.9,17688105
T11162540,11162540,BUTANO C NR PESCADERO CA,37.23355579,-122.3666399,Y,18.3,17688327
T11162570,11162570,SAN GREGORIO C A SAN GREGORIO CA,37.3257762,-122.3866404,Y,50.9,17687965
T11162600,11162600,PURISIMA C NR HALF MOON BAY CA,37.43494048,-122.3741392,N,4.83,17687875
T11162620,11162620,PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA,37.52466087,-122.3994177,N,6.54,17687547
T11162630,11162630,PILARCITOS C A HALF MOON BAY CA,37.46660747,-122.4341421,N,27.1,17688275
T11162720,11162720,COLMA C A SOUTH SAN FRANCISCO CA,37.65382296,-122.4263613,N,10.8,2804039
T11162800,11162800,REDWOOD C A REDWOOD CITY CA,37.44938279,-122.2335772,N,1.82,2809137
T11162940,11162940,SAN FRANCISQUITO C BL LADERA DAMSITE CA,37.40660625,-122.2041322,N,28.5,17692965
T11162950,11162950,SAN FRANCISQUITO C T NR STANFORD UNIV CA,37.4118839,-122.1988543,N,0.24,17692965
T11163000,11163000,LOS TRANCOS CN NR STANFORD UNIV CA,37.38882898,-122.1871873,NA,NA,17692975
T11163200,11163200,LOS TRANCOS C TRIB NR STANFORD UNIV CA,37.4049397,-122.1869095,NA,0.42,17692969
T11163500,11163500,LOS TRANCOS C A STANFORD UNIV CA,37.4121617,-122.1941319,N,7.46,17692959
T11164000,11164000,LAGUNITA CN A STANFORD U CA,37.4179949,-122.1885762,NA,NA,17693279
T11164500,11164500,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,37.42327257,-122.1894096,N,37.4,17693217
T11165500,11165500,SAN FRANCISQUITO C A PALO ALTO CA,37.45271657,-122.1399639,N,40.8,17693217
T11166000,11166000,MATADERO C A PALO ALTO CA,37.42160621,-122.1355193,N,7.26,17693219
T11166500,11166500,STEVENS C NR CUPERTINO CA,37.305498,-122.0746836,N,18.1,17693255
T11166900,11166900,ALAMITOS C NR NEW ALMADEN CA,37.22244434,-121.8510641,N,31.9,17694463
T11167000,11167000,ALAMITOS C NR EDENVALE CA,37.23549956,-121.8699535,N,34.6,17694425
T11167500,11167500,GUADALUPE C A GUADALUPE CA,37.21716673,-121.9107886,N,12.8,17694479
T11167660,11167660,ROSS C A SAN JOSE CA,37.2488326,-121.913566,N,5.7,17695689
T11168000,11168000,LOS GATOS C A LOS GATOS CA,37.21744453,-121.9874581,N,39.1,17695715
T11168500,11168500,LOS GATOS C BL LOS GATOS CA,37.23327749,-121.9741241,N,42.6,17694447
T11169000,11169000,GUADALUPE R A SAN JOSE CA,37.33438593,-121.8994,N,146,17694137
T11169025,11169025,GUADALUPE R ABV HWY 101 A SAN JOSE CA,37.3738296,-121.9330129,N,160,17694137
T11169500,11169500,SARATOGA C A SARATOGA CA,37.25438808,-122.0394041,N,9.22,17693069
T11169580,11169580,CALABAZAS C TRIB AT MT EDEN RD NR SARATOGA CA,37.26910995,-122.0610717,N,0.37,17693059
T11169600,11169600,PROSPECT C AT SARATOGA GOLF COURSE NR SARATOGA CA,37.28577626,-122.0549605,N,0.27,17693043
T11169616,11169616,CALABAZAS C A RAINBOW DR NR CUPERTINO CA,37.300776,-122.0266263,N,3.98,17693041
T11169800,11169800,COYOTE C NR GILROY CA,37.07772286,-121.4943832,Y,109,17694891
T11170000,11170000,COYOTE C NR MADRONE CA,37.1682777,-121.6496677,N,196,17694721
T11171500,11171500,COYOTE C NR EDENVALE CA,37.27077623,-121.797451,N,229,948050176
T11172100,11172100,UP PENITENCIA C A SAN JOSE CA,37.3952171,-121.8282872,Y,21.5,17694079
T11172175,11172175,COYOTE C AB HWY 237 A MILPITAS CA,37.4221617,-121.9274577,N,319,17695611
T11172945,11172945,ALAMEDA C AB DIV DAM NR SUNOL CA,37.4974356,-121.7735644,Y,33.3,2809681
T11173000,11173000,ALAMEDA C NR SUNOL CA,37.51382439,-121.8038433,N,37.5,2808615
T11173200,11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,Y,77.1,2809859
T11173500,11173500,CALAVERAS C NR SUNOL CA,37.49771396,-121.8177326,N,98.8,2809701
T11173510,11173510,ALAMEDA C BL CALAVERAS C NR SUNOL CA,37.5035472,-121.8246774,N,139,2806979
T11173575,11173575,ALAMEDA C BL WELCH C NR SUNOL CA,37.5404908,-121.856345,N,149,2806865
T11174000,11174000,SAN ANTONIO C NR SUNOL CA,37.577434,-121.857734,N,37,2806745
T11174500,11174500,ALAMO C A DUBLIN CA,37.7013188,-121.9191247,N,38.7,2806299
T11176000,11176000,ARROYO MOCHO NR LIVERMORE CA,37.62632039,-121.7046734,N,38.2,2806597
T11176145,11176145,ARROYO LAS POSITAS A LIVERMORE CA,37.69992957,-121.7738424,N,53.3,2806319
T11176150,11176150,ARROYO LAS POSITAS NR LIVERMORE CA,37.6977075,-121.8052322,N,64.6,2806323
T11176180,11176180,ARROYO LAS POSITAS A ELCH RD NR PLEASANTON CA,37.69687432,-121.8494003,N,75,2806337
T11176200,11176200,ARROYO MOCHO NR PLEASANTON CA,37.69048573,-121.8732899,N,142,2806357
T11176300,11176300,TASSAJARA C NR PLEASANTON CA,37.69909655,-121.8791234,N,26.8,2806359
T11176400,11176400,ARROYO VALLE BL LANG CN NR LIVERMORE CA,37.56132196,-121.6838389,Y,130,2806807
T11176500,11176500,ARROYO VALLE NR LIVERMORE CA,37.62326509,-121.7588418,N,147,2808553
T11176600,11176600,ARROYO VALLE A PLEASANTON CA,37.66715326,-121.8827347,N,171,2806459
T11176900,11176900,ARROYO DE LA LAGUNA A VERONA CA,37.62659915,-121.8830126,N,403,2806611
T11177000,11177000,ARROYO DE LA LAGUNA NR PLEASANTON CA,37.61521066,-121.8816236,N,405,2806611
T11179000,11179000,ALAMEDA C NR NILES CA,37.58715679,-121.960793,N,633,2806725
T11180500,11180500,DRY C A UNION CITY CA,37.6060452,-122.0238504,Y,9.39,2804369
T11180700,11180700,ALAMEDA C FLOOD CHANNEL A UNION CITY CA,37.58576818,-122.0482955,N,NA,2805109
T11180750,11180750,ALAMEDA C A UNION CITY CA,37.59604553,-122.0552401,N,NA,2804967
T11180810,11180810,PALOMARES C NR HAYWARD CA,37.69437491,-122.0249613,N,9.08,2803961
T11180825,11180825,SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA,37.69520825,-122.044962,Y,18,2803945
T11180900,11180900,CROW C NR HAYWARD CA,37.70493008,-122.0438508,N,10.5,2803935
T11180960,11180960,CULL C AB CULL C RES NR CASTRO VALLEY CA,37.71770737,-122.0544067,Y,5.79,2804901
T11181000,11181000,SAN LORENZO C A HAYWARD CA,37.68548644,-122.064407,Y,37.5,2803983
T11181006,11181006,CASTRO VALLEY C A KNOX ST AT CASTRO VAL CA,37.68215326,-122.079963,N,2.2,2803979
T11181008,11181008,CASTRO VALLEY C A HAYWARD CA,37.67993113,-122.0805186,N,5.51,2803985
T11181040,11181040,SAN LORENZO C A SAN LORENZO CA,37.68409772,-122.1399649,N,44.6,2804929
T11181330,11181330,TEMESCAL C AB LK TEMESCAL A OAKLAND CA,37.8438154,-122.2274681,N,1.74,1671803
T11181390,11181390,WILDCAT C A VALE RD AT RICHMOND CA,37.9532571,-122.3383039,Y,7.79,1671771
T11181400,11181400,WILDCAT C A RICHMOND CA,37.96131246,-122.3602489,N,8.69,1671771
T11182100,11182100,PINOLE C A PINOLE CA,37.97242309,-122.2463573,Y,10,1671763
T11182400,11182400,ARROYO DEL HAMBRE A MARTINEZ CA,38.00325513,-122.1299651,N,15.1,948050078
T11182500,11182500,SAN RAMON C A SAN RAMON CA,37.772983,-121.9946825,Y,5.89,2790443
T11182800,11182800,SAN RAMON C NR WALNUT CREEK CA,37.8771471,-122.0488513,N,47.9,948050140
T11183000,11183000,SAN RAMON C AT WALNUT CREEK CA,37.88436913,-122.0510736,Y,50.8,2789355
T11183500,11183500,WALNUT C AT WALNUT CREEK CA,37.90575747,-122.057185,N,79.2,2789339
T11183600,11183600,WALNUT C A CONCORD CA,37.94520083,-122.0496848,N,85.2,2789571
T11183700,11183700,LITTLE PINE C NR ALAMO CA,37.88492448,-121.977738,Y,1.22,2790383
T11184500,11184500,PINE C A CONCORD CA,37.96936683,-122.046907,N,28.3,2789557
T11185000,11185000,GRAYSON C NR HOOKSTON CA,37.9513117,-122.0357956,N,1.96,2789281
T11185300,11185300,GOLDEN TROUT C NR CARTAGO CA,36.37188216,-118.2889759,N,23.6,14970387
T11185350,11185350,KERN R NR QUAKING ASPEN CAMP CA,36.13438837,-118.4311976,N,530,14970831
T11185400,11185400,LITTLE KERN R NR QUAKING ASPEN CAMP CA,36.13549952,-118.4367533,N,132,14970833
T11185500,11185500,KERN R NO 3 CN NR KERNVILLE CA,35.90550439,-118.467586,NA,NA,14972873
T11185600,11185600,PACKSADDLE CYN C NR FAIRVIEW CA,35.94383727,-118.4759195,N,4.05,14971731
T11186000,11186000,KERN R NR KERNVILLE(RIVER ONLY) CA,35.94522615,-118.4775862,N,846,14971709
T11186001,11186001,COMBINED FLOW OF KERN R AND KERN R NO 3 CA,35.94522615,-118.4775862,NA,846,14972873
T11187000,11187000,KERN R A KERNVILLE CA,35.75439543,-118.4234182,N,1009,14972877
T11187500,11187500,BOREL CN BL ISABELLA DAM CA,35.6421749,-118.4700856,NA,NA,14940680
T11188000,11188000,KERN R A ISABELLA CA,35.666619,-118.4592521,N,1068,14972935
T11188200,11188200,SF KERN R NR OLANCHA CA,36.18327382,-118.1289716,N,146,14959487
T11189500,11189500,SF KERN R NR ONYX CA,35.7374516,-118.173689,N,530,14961121
T11189700,11189700,KELSO C NR WELDON CA,35.7199522,-118.2523017,N,101,14962453
T11190000,11190000,SF KERN R A ISABELLA CA,35.65911911,-118.4609187,N,982,14972943
T11191000,11191000,KERN R BL ISABELLA DAM CA,35.63911932,-118.4848082,N,2074,14940676
T11192000,11192000,KERN R NO 1 CONDUIT NR DEMOCRAT SPRINGS CA,35.49717785,-118.6925891,NA,NA,14947214
T11192500,11192500,KERN R NR DEMOCRAT SPRINGS(RIVER ONLY) CA,35.52078857,-118.6770332,N,2258,14940950
T11192501,11192501,KERN R NR DEMOCRAT SPRINGS CA (TOTAL FLOW) CA,35.52078857,-118.6770332,NA,2258,14940950
T11192940,11192940,KERN CYN PH NR BAKERSFIELD CA,35.439957,-118.7959262,NA,NA,14946890
T11192950,11192950,KERN R BL KERN CYN PH DIV DAM NR BAKERSFIELD CA,35.46023439,-118.7795364,N,NA,14946890
T11193000,11193000,KERN R BL KERN CYN PH NR BAKERSFIELD CA,35.48606715,-118.8148148,N,2307,14946890
T11193010,11193010,RIO BRAVO PP NR BAKERSFIELD CA,35.43023502,-118.822594,NA,NA,17173722
T11193020,11193020,KERN R A RIO BRAVO PP DIV DAM NR BKRSFLD CA,35.43023502,-118.822594,N,NA,17173722
T11193030,11193030,KERN R FW RL A RIO BRAVO PP DIV DAM NR BAKRSFLD CA,35.43023502,-118.822594,NA,NA,17173722
T11193031,11193031,COMB FLOW OF 11193020 + 11193030 CA,35.430235,-118.822594,NA,NA,17173722
T11193032,11193032,KERN R A RIO BRAVO PP BYPASS FLOW IN DAM NR BKSFLD,35.43023502,-118.822594,NA,NA,17173722
T11194000,11194000,KERN R NR BAKERSFIELD CA,35.43162386,-118.9462092,N,2407,17173688
T11194200,11194200,WAGONWHEEL C NR REWARD CA,35.32329868,-119.7429065,N,1.38,17172622
T11195500,11195500,SAN EMIGDIO C A SAN EMIGDIO RANCHHOUSE CA,34.98163745,-119.1851097,Y,48.8,17175320
T11195600,11195600,PASTORIA C NR LEBEC CA,34.9091399,-118.8162066,N,27.5,14948842
T11196400,11196400,CALIENTE C AB TEHACHAPI C NR CALIENTE CA,35.31134824,-118.5703669,YY,165,14945000
T11196420,11196420,TEHACHAPI C NR TEHACHAPI CA,35.17385268,-118.4795308,N,53.2,14945628
T11197250,11197250,AVENAL C NR AVENAL CA,35.85412696,-120.1270849,Y,57.1,17160150
T11197800,11197800,POSO C NR OILDALE CA,35.51384437,-118.9056511,N,230,14937291
T11199500,11199500,WHITE R NR DUCOR CA,35.80995236,-118.9184294,Y,90.6,17166342
T11200000,11200000,DEER C NR CA HOT SPRINGS CA,35.8791171,-118.6792551,N,16.8,14934792
T11200800,11200800,DEER C NR FOUNTAIN SPRINGS CA,35.94161745,-118.8228702,N,83.3,14934716
T11201200,11201200,DEER C DIV NR TERRA BELLA CA,35.99078599,-118.9859332,NA,NA,17161264
T11201450,11201450,PGE TULE R CONDUIT BL TULE R DD NR SPRINGVILLE CA,36.19216797,-118.6575909,NA,NA,14930943
T11201456,11201456,NF OF MF TULE R BL DIV DAM NR SPRINGVILLE CA,36.19244575,-118.6578687,N,30.9,14930941
T11201500,11201500,PGE CONDUIT NR SPRINGVILLE CA,36.1863348,-118.6639799,NA,NA,14930943
T11201700,11201700,PGE TULE R PH NR SPRINGVILLE CA,36.16328019,-118.706758,NA,NA,14930951
T11202000,11202000,NF OF MF TULE R NR SPRINGVILLE(RIVER ONLY CA,36.17466878,-118.6956469,N,39.3,14930339
T11202001,11202001,NF OF MF TULE R NR SPRINGVILLE(TOTAL FLOW CA,36.17466878,-118.6956469,NA,39.3,14930339
T11202700,11202700,SCE TULE R CONDUIT NR SPRINGVILLE CA,36.16161358,-118.7092581,NA,NA,14930953
T11202710,11202710,MF TULE R BL INTAKE AB SPRINGVILLE CA,36.1613358,-118.7095358,N,85.3,14930363
T11202711,11202711,MF TULE R BL IT AB SV+SCE CO TULE R CD COMB CA,36.16105801,-118.7078692,NA,85.3,14930363
T11202838,11202838,SCE TULE R CONDUIT A PP NR SPRINGVILLE CA,36.13527778,-118.788611,NA,NA,14930957
T11203000,11203000,BEAR C NR SPRINGVILLE CA,36.2024472,-118.7612043,N,13.5,14930261
T11203100,11203100,NF TULE R A SPRINGVILLE CA,36.13939291,-118.8050937,N,97.6,14930395
T11203190,11203190,TULE R DIV NR SPRINGVILLE CA,36.09939427,-118.8703734,NA,NA,14930549
T11203200,11203200,TULE R NR SPRINGVILLE CA,36.09467162,-118.836761,N,247,14930571
T11203220,11203220,TULE R A HWY 190 NR SPRINGVILLE CA,36.10050536,-118.8695401,N,NA,14930547
T11203221,11203221,TULE R A HWY 190 + DIV NR SPRINGVILLE CA,36.10050536,-118.8695401,NA,NA,14930547
T11203500,11203500,TULE R NR PORTERVILLE CA,36.07995061,-118.9092637,N,253,14931005
T11203580,11203580,SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA,36.04828125,-118.6542556,Y,20.1,14930711
T11204000,11204000,SF TULE R NR PORTERVILLE CA,36.03050484,-118.7825912,N,80.3,14930729
T11204100,11204100,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA,36.02411648,-118.8134258,YY,95.8,14930789
T11204500,11204500,SF TULE R NR SUCCESS CA,36.04245027,-118.8575946,N,109,14930723
T11204680,11204680,PIONEER DITCH BL SUCCESS DAM. CA,36.0593955,-118.9237086,NA,NA,17159708
T11204900,11204900,TULE R BL SUCCESS DAM CA,36.05633997,-118.9237086,N,393,17159708
T11205000,11205000,TULE R A WORTH BR NR PORTERVILLE CA,36.03995149,-118.9381535,N,395,17159722
T11206000,11206000,MF KAWEAH R NO 3 CONDUIT NR POTWISHA CAMP CA,36.51133438,-118.7975983,NA,NA,948030127
T11206500,11206500,MF KAWEAH R NR POTWISHA CAMP(RIVER ONLY) CA,36.51300095,-118.7917648,N,102,948030127
T11206501,11206501,MF KAWEAH R NR POTWISHA CAMP(TOTAL FLOW) CA,36.51327873,-118.7917649,NA,102,948030127
T11207500,11207500,MARBLE F KAWEAH R NO 3 CONDUIT A POTWISHA CA,36.51938994,-118.8009319,NA,NA,14918011
T11208000,11208000,MARBLE F KAWEAH R (R ONLY) A POTWISHA CAMP CA,36.5218899,-118.7992652,Y,51.4,14918005
T11208001,11208001,MARBLE F KAWEAH R (TOTAL FLOW) A POTWISHA CAMP CA,36.5188344,-118.8017652,NA,51.4,14918011
T11208500,11208500,MF KAWEAH TRIB NR HAMMOND CA,36.49300156,-118.825932,Y,1.9,14922121
T11208565,11208565,MF KAWEAH R CONDUIT NO 3 A PP NR HAMMOND CA,36.4861111,-118.8355556,NA,NA,14922143
T11208570,11208570,KAWEAH R CONDUIT NO. 2 NR HAMMOND CA,36.48605732,-118.8367656,NA,342,14922147
T11208600,11208600,KAWEAH R BL CONDUIT NO. 2 NR HAMMOND CA,36.48439065,-118.8359322,N,165,14922147
T11208601,11208601,COMBINED FLOW OF 11208570 + 11208600 CA,36.48605732,-118.8367656,NA,342,14922147
T11208610,11208610,MONARCH C NR HAMMOND CA,36.45244139,-118.5945377,N,1.89,14922281
T11208620,11208620,EF KAWEAH R BL MOSQUITO C NR HAMMOND CA,36.45133088,-118.6187048,N,16,14922287
T11208720,11208720,EF KAWEAH R CONDUIT 1 NR THREE RIVERS CA,36.45133464,-118.7895417,NA,85.8,14922311
T11208730,11208730,EF KAWEAH R NR THREE RIVERS CA,36.4516124,-118.789264,N,85.8,14922311
T11208731,11208731,COMBINED FLOW EF KAWEAH R NR THREE RIVERS CA,36.45161241,-118.789264,NA,85.8,14922311
T11208800,11208800,EF KAWEAH R CONDUIT 1 A PP NR HAMMOND CA,36.46527778,-118.8619444,NA,NA,14924431
T11208818,11208818,KAWEAH R CONDUIT NO 2 A PP NR HAMMOND CA,36.46166667,-118.8794444,NA,NA,14922205
